,Bam_file,CODING_BASES,CORRECT_STRAND_READS,DX,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RINe,TIN(mean),TIN(median),TIN(stdev),UTR_BASES,extraction,final_freeze_thaw,is_polyA
S25_numsort,S25_numsort.bam,857493040.0,252824.0,ASD-2,0.0,26493279.0,191484501.0,217190124.0,0.471603,0.009583,0.028532,0.657564,247583.0,26473664.0,24856.0,0.471576,0.009453,0.105306,0.119443,0.775251,0.009265,0.990735,0.76546,0.303675,1818356574.0,1841613751.0,9.3,72.8894364791,75.9153873305,12.1308014028,552188909.0,polyA,1,1.0
S26_numsort,S26_numsort.bam,550329867.0,198933.0,TD-2,0.0,16671413.0,127254205.0,129176640.0,0.501863,0.012072,0.029114,0.654293,195900.0,16658551.0,15895.0,0.479183,0.011792,0.110803,0.112477,0.776721,0.011623,0.988377,0.766923,0.297537,1148474951.0,1163147085.0,8.8,72.8699305227,76.1733929202,12.3391878242,341714239.0,polyA,1,1.0
S27_numsort,S27_numsort.bam,469490009.0,145743.0,ASD-2,0.0,14163419.0,101786895.0,113611822.0,0.445226,0.011445,0.028692,0.649542,142852.0,14151943.0,14367.0,0.484623,0.010185,0.105068,0.117274,0.777658,0.009993,0.990007,0.768134,0.293036,968774094.0,980786065.0,9.4,71.8721063238,75.0268768431,12.4435206485,283885368.0,polyA,1,1.0
S28_numsort,S28_numsort.bam,644387495.0,155872.0,Clontech-2,0.0,17973330.0,101963531.0,65282095.0,0.538563,0.011223,0.022014,0.681968,153441.0,17956847.0,18914.0,0.585329,0.008598,0.092618,0.059299,0.848083,0.008473,0.991527,0.838247,0.262754,1100898536.0,1113816389.0,7.2,66.428052027,69.6441470651,13.6347004375,289265415.0,polyA,5,1.0
S29_numsort,S29_numsort.bam,805347536.0,245282.0,ASD-1,0.0,24951672.0,168411292.0,199942025.0,0.495449,0.012448,0.029412,0.631912,240392.0,24931444.0,25118.0,0.475756,0.009735,0.099488,0.118115,0.782397,0.00955,0.99045,0.770165,0.306641,1692775475.0,1719659595.0,8.8,73.9169217839,77.1262201335,12.091764059,519074622.0,polyA,1,1.0
S2_numsort,S2_numsort.bam,445250247.0,210569.0,TD-2,0.0,13675711.0,105617179.0,107590194.0,0.527887,0.009846,0.019625,0.656468,207906.0,13665681.0,12693.0,0.469724,0.015164,0.111422,0.113504,0.775074,0.014986,0.985014,0.765118,0.30535,947898146.0,960232544.0,8.5,72.0268521741,75.3087181976,12.4980644669,289440526.0,polyA,1,1.0
S30_numsort,S30_numsort.bam,506846034.0,184647.0,TD-3,0.0,15801376.0,116857326.0,134832692.0,0.505823,0.012342,0.02746,0.632742,181215.0,15787959.0,16849.0,0.463236,0.011551,0.106803,0.123231,0.769966,0.011348,0.988652,0.759526,0.30673,1094142669.0,1109182765.0,8.7,73.009925572,76.1691896348,12.1822298676,335606617.0,polyA,1,1.0
S31_numsort,S31_numsort.bam,610186299.0,213583.0,TD-1,0.0,18551703.0,131846887.0,154292019.0,0.491578,0.011846,0.028128,0.637271,211488.0,18537089.0,16709.0,0.478871,0.011382,0.103473,0.121088,0.77544,0.01128,0.98872,0.765464,0.296569,1274219198.0,1290824633.0,8.9,73.4758721141,76.5189478032,12.1028930071,377893993.0,polyA,1,1.0
S32_numsort,S32_numsort.bam,579238291.0,292151.0,TD-1,0.0,18034233.0,126305653.0,135032806.0,0.480233,0.018662,0.046175,0.650751,288063.0,18018763.0,19558.0,0.472886,0.015942,0.103115,0.11024,0.786645,0.015735,0.984265,0.772002,0.313759,1224900672.0,1248133687.0,9.1,72.8156623619,75.9768052821,11.9849360283,384323922.0,polyA,1,1.0
S33_numsort,S33_numsort.bam,477526571.0,159828.0,ASD-1,0.0,15191823.0,101273340.0,122798669.0,0.489868,0.009202,0.020548,0.653434,157185.0,15179509.0,14957.0,0.462818,0.010411,0.098154,0.119016,0.78283,0.010249,0.989751,0.773205,0.320012,1031780908.0,1044624685.0,8.9,71.5146863884,74.5780324565,12.2991584267,330182328.0,polyA,1,1.0
