,Bam_file,CODING_BASES,CORRECT_STRAND_READS,DX,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RINe,TIN(mean),TIN(median),TIN(stdev),UTR_BASES,extraction,final_freeze_thaw,is_polyA
C3U8Q,trim_Sample_C3U8Q_1.fq.sort.bam.bam,30123844.0,829059.0,ASD,0.0,3954122.0,1190746307.0,734783610.0,0.422692,0.129286,0.066059,1.014146,349994.0,1737392.0,315210.0,0.013694,0.173328,0.541318,0.334036,0.124647,0.167671,0.832329,0.114182,0.110952,2199716941.0,2401309485.0,8.3,29.7878434901,27.5909072682,14.7854439396,244063180.0,riboDep,2,0.0
C4G5E,trim_Sample_C4G5E_1.fq.sort.bam.bam,656797162.0,319023.0,ASD,0.0,26545039.0,316122870.0,547763778.0,0.290167,0.180513,0.613344,0.613509,140449.0,13177637.0,114039.0,0.280701,0.011875,0.135104,0.234103,0.630793,0.010546,0.989454,0.613432,0.350092,2339843265.0,2406063882.0,8.6,75.0406731359,77.4532409727,11.0364812412,819159455.0,riboDep,1,0.0
C7Y3V,trim_Sample_C7Y3V_1.fq.sort.bam.bam,750615828.0,207169.0,ASD,0.0,28913937.0,179686037.0,505151990.0,0.561429,0.216428,0.416198,0.482034,93599.0,14384694.0,67375.0,0.318899,0.007114,0.07634,0.214614,0.709047,0.006465,0.993535,0.68999,0.390148,2353773286.0,2418781841.0,7.6,80.038880194,83.4830423758,12.0526856524,918319431.0,riboDep,1,0.0
D7L2Z,trim_Sample_D7L2Z_1.fq.sort.bam.bam,718758621.0,302913.0,ASD,0.0,27075533.0,199720979.0,628701730.0,0.568468,0.212688,0.411765,0.476841,140040.0,13472268.0,61763.0,0.302216,0.011064,0.083977,0.26435,0.651674,0.010288,0.989712,0.635903,0.349457,2378293777.0,2437275736.0,7.6,80.8423899855,84.0792234102,11.4097452555,831112447.0,riboDep,2,0.0
D8A3T,trim_Sample_D8A3T_1.fq.sort.bam.bam,749377976.0,348009.0,ASD,0.0,28690196.0,191566805.0,536011777.0,0.57744,0.20266,0.413017,0.474365,163546.0,14275948.0,66794.0,0.31404,0.011985,0.08028,0.224625,0.695095,0.011326,0.988674,0.678211,0.381055,2386246701.0,2445651219.0,8.7,80.4912625526,83.7733238791,11.8084521405,909290143.0,riboDep,1,0.0
E6X6M,trim_Sample_E6X6M_1.fq.sort.bam.bam,756160653.0,879705.0,ASD,0.0,27585780.0,177787657.0,614420178.0,0.531712,0.212698,0.424645,0.4741,428782.0,13719822.0,72505.0,0.31613,0.030904,0.074328,0.256872,0.668799,0.030306,0.969694,0.653723,0.352669,2391927034.0,2447089755.0,8.7,80.2797034755,83.6798635437,11.6136995294,843558546.0,riboDep,1,0.0
F2D5V,trim_Sample_F2D5V_1.fq.sort.bam.bam,72458465.0,518437.0,TD,0.0,4220379.0,922522167.0,929610087.0,0.084995,0.057759,0.0,1.440069,242422.0,2074706.0,53688.0,0.034099,0.109402,0.434144,0.437479,0.128377,0.104622,0.895378,0.112324,0.094278,2124924146.0,2428616028.0,8.1,17.8601204399,14.3226244294,12.9966240482,200333427.0,riboDep,2,0.0
F3H4P,trim_Sample_F3H4P_1.fq.sort.bam.bam,737629069.0,344939.0,ASD,0.0,27895548.0,177263077.0,581407886.0,0.523944,0.211089,0.430302,0.488217,162017.0,13879570.0,69578.0,0.312357,0.012214,0.075064,0.246203,0.678733,0.011538,0.988462,0.659282,0.366376,2361495937.0,2431167110.0,8.5,80.5347102272,83.8349190412,11.3906178657,865195905.0,riboDep,1,0.0
F4Q8E,trim_Sample_F4Q8E_1.fq.sort.bam.bam,702319585.0,238596.0,TD,0.0,26882908.0,170038121.0,647503785.0,0.523205,0.188521,0.420783,0.479418,110189.0,13372659.0,64977.0,0.298153,0.008797,0.072186,0.274883,0.652932,0.008173,0.991827,0.635389,0.354778,2355564694.0,2420599086.0,8.1,79.4797490556,82.8842495168,12.0210887317,835703203.0,riboDep,1,0.0
F9Z3U,trim_Sample_F9Z3U_1.fq.sort.bam.bam,743925643.0,195017.0,ASD,0.0,29246778.0,207552564.0,489122069.0,0.511522,0.196402,0.43456,0.488284,88053.0,14560420.0,57895.0,0.313414,0.006624,0.087441,0.206066,0.706493,0.006011,0.993989,0.688609,0.39308,2373623333.0,2435270754.0,8.2,79.8763636096,83.2151198453,11.8699207098,933023057.0,riboDep,1,0.0
G5F8D,trim_Sample_G5F8D_1.fq.sort.bam.bam,740738453.0,196924.0,ASD,0.0,27774820.0,173362387.0,610123346.0,0.483069,0.173135,0.38928,0.505073,89807.0,13827351.0,55898.0,0.313014,0.00704,0.073258,0.25782,0.668922,0.006453,0.993547,0.650897,0.355908,2366469134.0,2432004093.0,6.7,78.8582393268,82.040150092,11.9803772838,842244948.0,riboDep,1,0.0
G7M9T,trim_Sample_G7M9T_1.fq.sort.bam.bam,736164985.0,319527.0,,0.0,28240882.0,188028734.0,555478087.0,0.571096,0.192377,0.388841,0.477983,148350.0,14049075.0,69332.0,0.311526,0.011188,0.079569,0.235064,0.685367,0.010449,0.989551,0.669126,0.373841,2363091502.0,2420448345.0,6.6,80.583581172,83.9900587453,11.6540031995,883419696.0,riboDep,2,0.0
H4Z3U,trim_Sample_H4Z3U_1.fq.sort.bam.bam,581642025.0,221466.0,TD,0.0,22172185.0,210013045.0,874450993.0,0.531382,0.174439,0.353188,0.490428,101677.0,11031046.0,49747.0,0.247934,0.00989,0.089521,0.372748,0.53773,0.009133,0.990867,0.523596,0.289797,2345955897.0,2409286662.0,7.8,79.0289783974,82.0582918707,11.54783673,679849834.0,riboDep,1,0.0
H5U5U,trim_Sample_H5U5U_1.fq.sort.bam.bam,748991504.0,330710.0,,0.0,28406518.0,185776756.0,583286154.0,0.56506,0.185157,0.387587,0.484937,155019.0,14130591.0,69294.0,0.313346,0.011508,0.077721,0.244022,0.678257,0.010851,0.989149,0.662124,0.36491,2390299900.0,2448538532.0,7.5,79.9143107899,83.2106752754,11.8121330864,872245486.0,riboDep,2,0.0
H6D3L,trim_Sample_H6D3L_1.fq.sort.bam.bam,713944116.0,579939.0,ASD,0.0,26863864.0,190423507.0,636307313.0,0.556491,0.197838,0.394447,0.48169,279192.0,13365725.0,65469.0,0.299458,0.021132,0.079872,0.266894,0.653235,0.020461,0.979539,0.636472,0.353777,2384122885.0,2446914272.0,8.2,80.3697479085,83.5552666974,11.4340179393,843447949.0,riboDep,1,0.0
H7U8Q,trim_Sample_H7U8Q_1.fq.sort.bam.bam,688812398.0,220902.0,TD,0.0,26007722.0,200178632.0,721126143.0,0.548047,0.164978,0.351962,0.480267,101054.0,12943939.0,55434.0,0.289859,0.008422,0.084237,0.303457,0.612306,0.007747,0.992253,0.598308,0.322446,2376368868.0,2431963010.0,8.6,80.252288194,83.2811848762,11.3052864947,766251695.0,riboDep,2,0.0
J3A7M,trim_Sample_J3A7M_1.fq.sort.bam.bam,717256250.0,534301.0,,0.0,26444978.0,205725617.0,675941569.0,0.553093,0.189829,0.385858,0.473645,255520.0,13159357.0,67002.0,0.300762,0.019804,0.086266,0.283438,0.630297,0.019048,0.980952,0.615181,0.329534,2384795488.0,2443393286.0,8.8,80.8870590194,83.8728903358,11.0445736112,785872052.0,riboDep,3,0.0
J3N8R,trim_Sample_J3N8R_1.fq.sort.bam.bam,737129828.0,205272.0,ASD,0.0,28531532.0,180232196.0,557033326.0,0.58409,0.178514,0.361842,0.476236,92475.0,14193656.0,69989.0,0.311315,0.007143,0.076118,0.235254,0.688628,0.006473,0.993527,0.672596,0.377312,2367792874.0,2424230203.0,7.9,79.4601806126,82.8395753827,12.2557702851,893397524.0,riboDep,1,0.0
L7C8J,trim_Sample_L7C8J_1.fq.sort.bam.bam,735774910.0,223562.0,TD,0.0,27037007.0,193423214.0,646399182.0,0.571878,0.169388,0.335796,0.479842,101568.0,13449196.0,67295.0,0.312014,0.008201,0.082023,0.274113,0.643864,0.007495,0.992505,0.62963,0.33185,2358149168.0,2411459107.0,8.3,80.6320878661,83.7811873967,11.4476380881,782551862.0,riboDep,1,0.0
L8Y8V,trim_Sample_L8Y8V_1.fq.sort.bam.bam,712499538.0,243864.0,TD,0.0,28193017.0,205627602.0,533496472.0,0.547002,0.210188,0.434268,0.471812,111465.0,14029002.0,64293.0,0.305071,0.008576,0.088044,0.228428,0.683529,0.007883,0.992117,0.667033,0.378457,2335517336.0,2393273196.0,8.5,80.9140703844,84.390645923,11.4913129103,883893724.0,riboDep,1,0.0
M3U4G,trim_Sample_M3U4G_1.fq.sort.bam.bam,706108890.0,568403.0,TD,0.0,27225907.0,197604215.0,601433435.0,0.550498,0.208963,0.431884,0.480761,273779.0,13551389.0,60981.0,0.296729,0.02045,0.083039,0.252741,0.66422,0.019803,0.980197,0.647233,0.367491,2379644718.0,2442097953.0,7.8,80.7104604424,83.8411469629,11.308517564,874498178.0,riboDep,1,0.0
M7J9T,trim_Sample_M7J9T_1.fq.sort.bam.bam,562882097.0,231074.0,ASD,0.0,21036138.0,195582803.0,939052680.0,0.522401,0.177015,0.381124,0.489263,106744.0,10463436.0,53324.0,0.241026,0.010865,0.083749,0.402102,0.514149,0.010099,0.989901,0.499767,0.273123,2335358843.0,2402567972.0,8.5,79.3652984431,82.4363871591,11.3784441928,637841263.0,riboDep,1,0.0
M7Y3Q,trim_Sample_M7Y3Q_1.fq.sort.bam.bam,735739714.0,217076.0,TD,0.0,28081211.0,183348508.0,547705816.0,0.530604,0.195474,0.39703,0.485926,98309.0,13972675.0,63672.0,0.312839,0.007671,0.07796,0.232886,0.689153,0.006987,0.993013,0.670338,0.376315,2351817438.0,2417830993.0,8.4,80.0618416003,83.369676558,11.826784974,885023400.0,riboDep,1,0.0
M9Q2D,trim_Sample_M9Q2D_1.fq.sort.bam.bam,760701427.0,308649.0,ASD,0.0,28630103.0,184689690.0,525542815.0,0.540837,0.20403,0.439302,0.471527,143605.0,14243273.0,71757.0,0.323713,0.010666,0.078594,0.223642,0.697764,0.009982,0.990018,0.680244,0.37405,2349924229.0,2410444942.0,8.0,80.6236279806,84.1508455844,11.7479421197,878990297.0,riboDep,1,0.0
N3A2W,trim_Sample_N3A2W_1.fq.sort.bam.bam,740481961.0,865285.0,TD,0.0,28986109.0,193548889.0,489860257.0,0.52622,0.238094,0.480519,0.477456,420350.0,14418952.0,78016.0,0.308751,0.028986,0.080702,0.204252,0.715046,0.028327,0.971673,0.701185,0.406294,2398311150.0,2445721491.0,9.0,80.8278518566,84.3063855279,11.7726444402,974420043.0,riboDep,1,0.0
N6D6M,trim_Sample_N6D6M_1.fq.sort.bam.bam,735553991.0,227380.0,TD,0.0,27866961.0,194146263.0,582195718.0,0.54038,0.213106,0.439417,0.472741,102242.0,13863984.0,68001.0,0.310832,0.008093,0.082043,0.246026,0.671931,0.007321,0.992679,0.655505,0.361099,2366399963.0,2425699748.0,7.9,81.0083608882,84.2935247571,11.499111407,854503991.0,riboDep,1,0.0
N6W9J,trim_Sample_N6W9J_1.fq.sort.bam.bam,759000760.0,221037.0,ASD,0.0,29103771.0,183032373.0,506041990.0,0.529516,0.201784,0.437955,0.48617,100153.0,14484281.0,67237.0,0.320534,0.007538,0.077297,0.213707,0.708996,0.006867,0.993133,0.691241,0.388462,2367924154.0,2428746661.0,7.9,80.2541581956,83.6250426443,11.7935484278,919849031.0,riboDep,1,0.0
Q3E8E,trim_Sample_Q3E8E_1.fq.sort.bam.bam,768713463.0,388338.0,ASD,0.0,29353268.0,178157438.0,508587829.0,0.558555,0.219448,0.409032,0.481224,183657.0,14604213.0,70275.0,0.322846,0.013057,0.074823,0.213598,0.711579,0.012419,0.987581,0.693393,0.388733,2381050712.0,2443498729.0,8.9,80.3236788775,83.7546828321,11.8062087814,925591982.0,riboDep,1,0.0
Q9R4U,trim_Sample_Q9R4U_1.fq.sort.bam.bam,744735606.0,233063.0,ASD,0.0,27640398.0,180430897.0,626504232.0,0.563627,0.190326,0.360048,0.476183,106108.0,13756555.0,61916.0,0.316066,0.008361,0.076575,0.265889,0.657536,0.007654,0.992346,0.640326,0.34147,2356264507.0,2419595862.0,7.9,80.8510247543,83.8532383424,11.1215530736,804593772.0,riboDep,1,0.0
R3N5A,trim_Sample_R3N5A_1.fq.sort.bam.bam,750733445.0,219321.0,ASD,0.0,28535026.0,192636882.0,569689735.0,0.565797,0.185062,0.356688,0.482716,100160.0,14198292.0,65461.0,0.314531,0.007627,0.080708,0.23868,0.680612,0.007005,0.992995,0.664134,0.366081,2386834467.0,2446055283.0,8.4,79.9766262717,83.3025794892,11.9155191994,873774405.0,riboDep,1,0.0
R3N7U,trim_Sample_R3N7U_1.fq.sort.bam.bam,721293751.0,222779.0,TD,0.0,27692106.0,192217529.0,583812070.0,0.550052,0.190649,0.386007,0.47788,101134.0,13781902.0,60274.0,0.306134,0.007981,0.081582,0.247784,0.670634,0.007285,0.992715,0.654239,0.3645,2356134124.0,2415180516.0,7.4,80.6766460557,84.0148288842,11.5893843513,858810774.0,riboDep,1,0.0
R6W8B,trim_Sample_R6W8B_1.fq.sort.bam.bam,673058015.0,312738.0,TD,0.0,24799795.0,187957253.0,778211053.0,0.538296,0.184511,0.385381,0.485918,147184.0,12335543.0,60167.0,0.284636,0.012453,0.079487,0.329105,0.591408,0.011791,0.988209,0.57673,0.306772,2364626308.0,2424803380.0,9.1,79.2025561937,82.4820953085,11.8865423173,725399987.0,riboDep,1,0.0
S2X8A,trim_Sample_S2X8A_1.fq.sort.bam.bam,685331499.0,396793.0,ASD,0.0,26857958.0,197941188.0,627717367.0,0.554181,0.196301,0.392442,0.49094,188224.0,13362481.0,64182.0,0.28845,0.014559,0.083312,0.264201,0.652488,0.01389,0.98611,0.635127,0.364038,2375911218.0,2440855304.0,7.5,80.0233890021,83.2563146034,11.6487521354,864921164.0,riboDep,1,0.0
S6K2X,trim_Sample_S6K2X_1.fq.sort.bam.bam,741545534.0,215777.0,TD,0.0,28535710.0,191336044.0,543624223.0,0.51813,0.203862,0.41489,0.492677,98108.0,14204563.0,64046.0,0.312557,0.007505,0.080647,0.229134,0.690219,0.006859,0.993141,0.673548,0.377662,2372514211.0,2431236972.0,7.0,80.1574766228,83.4432109655,11.657777246,896008410.0,riboDep,1,0.0
S8P3B,trim_Sample_S8P3B_1.fq.sort.bam.bam,748066383.0,232702.0,TD,0.0,27807717.0,189689601.0,587839984.0,0.560199,0.190765,0.386856,0.479475,106325.0,13829359.0,70140.0,0.317159,0.008299,0.080423,0.249228,0.670349,0.00763,0.99237,0.654157,0.35319,2358647648.0,2417032286.0,9.1,80.0656879499,83.4481963848,11.9271471974,833051680.0,riboDep,1,0.0
T3E8T,trim_Sample_T3E8T_1.fq.sort.bam.bam,666967087.0,720766.0,TD,0.0,24492596.0,223109411.0,767878157.0,0.53389,0.175654,0.364022,0.488938,350440.0,12190389.0,55202.0,0.277476,0.028587,0.092819,0.319458,0.587723,0.027944,0.972056,0.576179,0.310247,2403691842.0,2451847947.0,7.7,79.8638741064,82.8269945491,11.3975966219,745737187.0,riboDep,2,0.0
T5X2N,trim_Sample_T5X2N_1.fq.sort.bam.bam,742152608.0,365328.0,ASD,0.0,27890582.0,202416930.0,578801008.0,0.5712,0.179696,0.344108,0.477589,170257.0,13879492.0,67963.0,0.313079,0.012929,0.08539,0.244169,0.670441,0.012118,0.987882,0.654408,0.357362,2370495020.0,2428573048.0,9.1,81.1273393212,84.1979729495,10.9910681946,847124474.0,riboDep,2,0.0
T8C6Q,trim_Sample_T8C6Q_1.fq.sort.bam.bam,755987003.0,200189.0,TD,0.0,29033230.0,194117599.0,496305053.0,0.602325,0.195116,0.39151,0.481118,90925.0,14436893.0,75644.0,0.31986,0.006848,0.082132,0.209988,0.707881,0.006259,0.993741,0.688925,0.388021,2363495809.0,2428526186.0,7.7,80.1409797665,83.5729996893,12.1782936912,917086154.0,riboDep,1,0.0
T8T3Y,trim_Sample_T8T3Y_1.fq.sort.bam.bam,696329829.0,434533.0,TD,0.0,25281217.0,197310248.0,732773182.0,0.502554,0.163886,0.36119,0.489965,207147.0,12578489.0,61207.0,0.293411,0.016898,0.08314,0.308767,0.608092,0.016202,0.983798,0.590743,0.314681,2373220058.0,2442918217.0,8.8,79.9270967979,82.9322158509,11.2660620583,746806799.0,riboDep,1,0.0
U5B9H,trim_Sample_U5B9H_1.fq.sort.bam.bam,760293440.0,270495.0,ASD,0.0,28502657.0,184602854.0,581425934.0,0.591768,0.187196,0.374847,0.478122,125182.0,14191745.0,57676.0,0.321205,0.009401,0.07799,0.245638,0.676372,0.008744,0.991256,0.659789,0.355168,2367006769.0,2426500095.0,9.1,80.3091934091,83.5891422256,11.6515920624,840684541.0,riboDep,3,0.0
U6H3B,trim_Sample_U6H3B_1.fq.sort.bam.bam,675829127.0,291961.0,TD,0.0,26169148.0,201745432.0,669189127.0,0.604423,0.178572,0.359641,0.480126,135745.0,13020064.0,60791.0,0.284911,0.011034,0.08505,0.282112,0.632838,0.010318,0.989682,0.61776,0.347926,2372069132.0,2429963100.0,9.1,79.7080361347,82.9472989519,11.7714588079,825305446.0,riboDep,2,0.0
V4A4U,trim_Sample_V4A4U_1.fq.sort.bam.bam,758161459.0,351536.0,TD,0.0,28831180.0,195134246.0,543681674.0,0.526871,0.195131,0.4173,0.485386,166668.0,14338363.0,72935.0,0.318134,0.012046,0.081881,0.228136,0.689984,0.01149,0.98851,0.672174,0.37185,2383150970.0,2446292133.0,8.1,79.4516328985,82.8509834089,12.0306752411,886173591.0,riboDep,1,0.0
V5G2E,,,,TD,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,1,
V7Y3Z,trim_Sample_V7Y3Z_1.fq.sort.bam.bam,733924279.0,225717.0,TD,0.0,27409217.0,189297483.0,643133640.0,0.567579,0.171298,0.349723,0.47738,103119.0,13643526.0,58043.0,0.307908,0.008168,0.079417,0.269818,0.650764,0.007501,0.992499,0.635304,0.342856,2383579867.0,2441583833.0,6.2,80.4278488237,83.4589005538,11.4660227232,817224465.0,riboDep,2,0.0
X5W4Z,,,,ASD,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,1,
Y2W7Y,trim_Sample_Y2W7Y_1.fq.sort.bam.bam,683328096.0,424203.0,TD,0.0,25522708.0,197352004.0,711062987.0,0.56021,0.17779,0.360015,0.467063,199581.0,12693833.0,66329.0,0.290426,0.016349,0.083878,0.302214,0.613908,0.015479,0.984521,0.600274,0.323482,2352846752.0,2406286108.0,7.3,81.3785455675,84.3598013641,10.7058481678,761103665.0,riboDep,1,0.0
Y5A9A,trim_Sample_Y5A9A_1.fq.sort.bam.bam,650377321.0,321494.0,ASD,0.0,27647274.0,221227005.0,546049972.0,0.52299,0.199588,0.420513,0.476318,146065.0,13741713.0,82926.0,0.274973,0.011495,0.093532,0.230864,0.675603,0.010518,0.989482,0.657074,0.40063,2365242159.0,2431941687.0,7.1,79.7475508048,82.9706253809,11.6866079722,947587861.0,riboDep,3,0.0
Z2G9V,trim_Sample_Z2G9V_1.fq.sort.bam.bam,686011542.0,400353.0,ASD,0.0,26615132.0,191630356.0,639899897.0,0.503776,0.208364,0.437282,0.500122,190477.0,13249088.0,56915.0,0.287819,0.014819,0.080399,0.268472,0.651129,0.014173,0.985827,0.633359,0.36331,2383486487.0,2450358275.0,7.1,79.2423393851,82.5614769584,11.9031256829,865944692.0,riboDep,1,0.0
Z3S5Y,trim_Sample_Z3S5Y_1.fq.sort.bam.bam,688292542.0,403500.0,TD,0.0,26266031.0,196261694.0,647665280.0,0.539988,0.217449,0.422222,0.479479,190697.0,13065216.0,65279.0,0.29055,0.01513,0.082848,0.2734,0.643752,0.014386,0.985614,0.627551,0.353202,2368931230.0,2430086566.0,7.5,80.7061908459,83.9692219678,11.4772368125,836711714.0,riboDep,1,0.0
Z8Y6T,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,2,
